!!index array str
 "frcmod03"
 "parm99"
!entry.frcmod03.parm.angles table  str type1  str type2  str type3  dbl kt  dbl t0  str desc
 "H0" "CT" "H0" 35.000000 1.911136 ""
 "H0" "CT" "N" 50.000000 1.911136 ""
 "C" "CT" "H0" 50.000000 1.911136 ""
!entry.frcmod03.parm.atoms table  str type  dbl mass  dbl e  dbl r  int element  int hybrid  str desc  dbl polar
 "H0" 1.008000 0.015700 1.387000 1 3 "" 0.135000
!entry.frcmod03.parm.bonds table  str type1  str type2  dbl kb  dbl r0  str desc
 "CT" "H0" 340.000000 1.090000 ""
!entry.frcmod03.parm.torsionOrders array str
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
 "0123"
!entry.frcmod03.parm.torsions table  str type1  str type2  str type3  str type4  int type  dbl kp  int n  dbl p0  str desc
 "N" "C" "CT" "N" 0 0.461500 3 3.141594 ""
 "N" "C" "CT" "N" 0 1.453700 2 3.141594 ""
 "N" "C" "CT" "N" 0 0.683900 1 3.141594 ""
 "C" "CT" "N" "C" 0 0.225900 3 0.0 ""
 "C" "CT" "N" "C" 0 0.345100 2 3.141594 ""
 "C" "CT" "N" "C" 0 1.015900 1 0.0 ""
 "CT" "CT" "C" "N" 0 0.056000 3 0.0 ""
 "CT" "CT" "C" "N" 0 0.065700 2 3.141594 ""
 "CT" "CT" "C" "N" 0 0.778400 1 3.141594 ""
 "C" "N" "CT" "CT" 0 0.227000 3 3.141594 ""
 "C" "N" "CT" "CT" 0 0.883600 2 3.141594 ""
 "C" "N" "CT" "CT" 0 0.353700 1 3.141594 ""
 "C" "N" "CT" "H0" 0 1.255800 2 3.141594 ""
 "C" "N" "CT" "H0" 0 0.457500 1 0.0 ""
 "H0" "CT" "C" "N" 0 0.011000 2 0.0 ""
 "H0" "CT" "C" "N" 0 1.060700 1 3.141594 ""
!entry.parm99.parm.angles table  str type1  str type2  str type3  dbl kt  dbl t0  str desc
 "HW" "OW" "HW" 100.000000 1.824219 ""
 "HW" "HW" "OW" 0.0 2.229485 ""
 "C" "C" "O" 80.000000 2.094396 ""
 "C" "C" "OH" 80.000000 2.094396 ""
 "CA" "C" "CA" 63.000000 2.094396 ""
 "CA" "C" "OH" 70.000000 2.094396 ""
 "CB" "C" "NA" 70.000000 1.942552 ""
 "CB" "C" "O" 80.000000 2.247985 ""
 "CM" "C" "NA" 70.000000 1.991422 ""
 "CM" "C" "O" 80.000000 2.186898 ""
 "CT" "C" "O" 80.000000 2.101377 ""
 "CT" "C" "O2" 70.000000 2.042036 ""
 "CT" "C" "N" 70.000000 2.035055 ""
 "CT" "C" "CT" 63.000000 2.042036 ""
 "CT" "C" "OS" 80.000000 2.007130 ""
 "CT" "C" "OH" 80.000000 1.919863 ""
 "N*" "C" "NA" 70.000000 2.014111 ""
 "N*" "C" "NC" 70.000000 2.069961 ""
 "N*" "C" "O" 80.000000 2.110104 ""
 "NA" "C" "O" 80.000000 2.104868 ""
 "NC" "C" "O" 80.000000 2.138029 ""
 "N" "C" "O" 80.000000 2.145011 ""
 "O" "C" "O" 80.000000 2.199116 ""
 "O" "C" "OH" 80.000000 2.094396 ""
 "O" "C" "OS" 80.000000 2.181663 ""
 "O2" "C" "O2" 80.000000 2.199116 ""
 "C" "C" "H4" 50.000000 2.094396 ""
 "CM" "C" "H4" 50.000000 2.007130 ""
 "CT" "C" "H4" 50.000000 2.007130 ""
 "H4" "C" "O" 50.000000 2.094396 ""
 "H4" "C" "OH" 50.000000 2.094396 ""
 "H5" "C" "N" 50.000000 2.094396 ""
 "H5" "C" "O" 50.000000 2.076943 ""
 "H5" "C" "OH" 50.000000 1.867503 ""
 "H5" "C" "OS" 50.000000 1.867503 ""
 "C" "CA" "CA" 63.000000 2.094396 ""
 "C" "CA" "HA" 50.000000 2.094396 ""
 "CA" "CA" "CA" 63.000000 2.094396 ""
 "CA" "CA" "CB" 63.000000 2.094396 ""
 "CA" "CA" "CT" 70.000000 2.094396 ""
 "CA" "CA" "HA" 50.000000 2.094396 ""
 "CA" "CA" "H4" 50.000000 2.094396 ""
 "CA" "CA" "OH" 70.000000 2.094396 ""
 "CA" "CA" "CN" 63.000000 2.094396 ""
 "CB" "CA" "HA" 50.000000 2.094396 ""
 "CB" "CA" "H4" 50.000000 2.094396 ""
 "CB" "CA" "N2" 70.000000 2.155483 ""
 "CB" "CA" "NC" 70.000000 2.047272 ""
 "CM" "CA" "N2" 70.000000 2.096141 ""
 "CM" "CA" "NC" 70.000000 2.120576 ""
 "CN" "CA" "HA" 50.000000 2.094396 ""
 "NA" "CA" "NC" 70.000000 2.151992 ""
 "N2" "CA" "NA" 70.000000 2.024583 ""
 "N2" "CA" "NC" 70.000000 2.082179 ""
 "N2" "CA" "N2" 70.000000 2.094396 ""
 "CA" "CA" "F" 70.000000 2.111849 ""
 "CA" "CA" "Cl" 70.000000 2.073452 ""
 "Br" "CA" "CA" 70.000000 2.073452 ""
 "CA" "CA" "I" 70.000000 2.073452 ""
 "C" "CB" "CB" 63.000000 2.080433 ""
 "C" "CB" "NB" 70.000000 2.268929 ""
 "CA" "CB" "CB" 63.000000 2.047272 ""
 "CA" "CB" "NB" 70.000000 2.310817 ""
 "CB" "CB" "N*" 70.000000 1.853540 ""
 "CB" "CB" "NB" 70.000000 1.926844 ""
 "CB" "CB" "NC" 70.000000 2.228786 ""
 "C*" "CB" "CA" 63.000000 2.354450 ""
 "C*" "CB" "CN" 63.000000 1.898919 ""
 "CA" "CB" "CN" 63.000000 2.028073 ""
 "N*" "CB" "NC" 70.000000 2.202606 ""
 "CD" "CD" "CM" 63.000000 2.094396 ""
 "CD" "CD" "CT" 70.000000 2.094396 ""
 "CM" "CD" "CT" 70.000000 2.094396 ""
 "HA" "CD" "HA" 35.000000 2.076943 ""
 "CD" "CD" "HA" 50.000000 2.094396 ""
 "CM" "CD" "HA" 50.000000 2.094396 ""
 "H5" "CK" "N*" 50.000000 2.147629 ""
 "H5" "CK" "NB" 50.000000 2.147629 ""
 "N*" "CK" "NB" 70.000000 1.987931 ""
 "C" "CM" "CM" 63.000000 2.106613 ""
 "C" "CM" "CT" 70.000000 2.089160 ""
 "C" "CM" "HA" 50.000000 2.089160 ""
 "C" "CM" "H4" 50.000000 2.089160 ""
 "CA" "CM" "CM" 63.000000 2.042036 ""
 "CA" "CM" "HA" 50.000000 2.151992 ""
 "CA" "CM" "H4" 50.000000 2.151992 ""
 "CM" "CM" "CT" 70.000000 2.089160 ""
 "CM" "CM" "HA" 50.000000 2.089160 ""
 "CM" "CM" "H4" 50.000000 2.089160 ""
 "CM" "CM" "N*" 70.000000 2.115340 ""
 "CM" "CM" "OS" 80.000000 2.181663 ""
 "H4" "CM" "N*" 50.000000 2.078688 ""
 "H4" "CM" "OS" 50.000000 1.972223 ""
 "HA" "CM" "HA" 35.000000 2.094396 ""
 "CD" "CM" "HA" 50.000000 2.094396 ""
 "CT" "CM" "HA" 50.000000 2.094396 ""
 "NC" "CQ" "NC" 70.000000 2.253221 ""
 "H5" "CQ" "NC" 50.000000 2.014983 ""
 "H1" "CT" "H1" 35.000000 1.911136 ""
 "H1" "CT" "N*" 50.000000 1.911136 ""
 "H1" "CT" "OH" 50.000000 1.911136 ""
 "H1" "CT" "OS" 50.000000 1.911136 ""
 "CM" "CT" "H1" 50.000000 1.911136 ""
 "CY" "CT" "H1" 50.000000 1.919863 ""
 "CZ" "CT" "H1" 50.000000 1.919863 ""
 "H1" "CT" "N" 50.000000 1.911136 ""
 "H1" "CT" "S" 50.000000 1.911136 ""
 "H1" "CT" "SH" 50.000000 1.911136 ""
 "H1" "CT" "N2" 50.000000 1.911136 ""
 "H1" "CT" "NT" 50.000000 1.911136 ""
 "H2" "CT" "H2" 35.000000 1.911136 ""
 "H2" "CT" "N*" 50.000000 1.911136 ""
 "H2" "CT" "OS" 50.000000 1.911136 ""
 "HP" "CT" "HP" 35.000000 1.911136 ""
 "HP" "CT" "N3" 50.000000 1.911136 ""
 "HC" "CT" "HC" 35.000000 1.911136 ""
 "CM" "CT" "HC" 50.000000 1.911136 ""
 "CD" "CT" "HC" 50.000000 1.911136 ""
 "CZ" "CT" "HC" 50.000000 1.919863 ""
 "C" "CT" "H1" 50.000000 1.911136 ""
 "C" "CT" "HP" 50.000000 1.911136 ""
 "C" "CT" "HC" 50.000000 1.911136 ""
 "C" "CT" "N" 63.000000 1.921608 ""
 "C" "CT" "N3" 80.000000 1.940807 ""
 "C" "CT" "CT" 63.000000 1.939062 ""
 "C" "CT" "OS" 60.000000 1.911136 ""
 "CA" "CT" "HC" 50.000000 1.911136 ""
 "CC" "CT" "CT" 63.000000 1.973968 ""
 "CC" "CT" "HC" 50.000000 1.911136 ""
 "CM" "CT" "CT" 63.000000 1.937316 ""
 "CM" "CT" "OS" 50.000000 1.911136 ""
 "CT" "CT" "CT" 40.000000 1.911136 ""
 "CT" "CT" "HC" 50.000000 1.911136 ""
 "CT" "CT" "H1" 50.000000 1.911136 ""
 "CT" "CT" "H2" 50.000000 1.911136 ""
 "CT" "CT" "HP" 50.000000 1.911136 ""
 "CT" "CT" "N*" 50.000000 1.911136 ""
 "CT" "CT" "OH" 50.000000 1.911136 ""
 "CT" "CT" "OS" 50.000000 1.911136 ""
 "CT" "CT" "S" 50.000000 2.001894 ""
 "CT" "CT" "SH" 50.000000 1.895428 ""
 "CA" "CT" "CT" 63.000000 1.989676 ""
